DATE,FIRECOUNT,WD,RH,WS,AT,CONST,GSDP,GSVA,GSDP_CAP,HDI,NO2,CO,PM10,PM25,SO2
12-11-2012,1863,121.38,56.2,0.4,19.83,,391388,342588,225117,0.713,263.99,1.98,NaN,153.32,11.11
13-11-2012,913,176.27,56.05,0.38,18.93,,391388,342588,225117,0.713,278.33,1.41,NaN,201.8,12.3
14-11-2012,888,220.7,52.22,0.51,18.71,,391388,342588,225117,0.713,265.02,1.48,NaN,259.89,19.83
15-11-2012,893,212.76,55.81,0.42,18.31,,391388,342588,225117,0.713,309.02,1.93,NaN,169.32,10.78
16-11-2012,732,191.33,55.85,0.37,18.24,,391388,342588,225117,0.713,410.19,2.87,NaN,165.02,13.65
17-11-2012,793,219.16,54.72,0.42,18.34,,391388,342588,225117,0.713,362.85,2.27,NaN,163.03,11.67
18-11-2012,432,212.37,43.25,0.43,19.96,,391388,342588,225117,0.713,309.16,2.52,NaN,125.12,10.94
19-11-2012,265,211.66,45.78,0.5,18.88,,391388,342588,225117,0.713,281.06,2.28,NaN,128.53,10.1
20-11-2012,370,228.43,39.32,0.53,18.46,,391388,342588,225117,0.713,196.23,3.87,NaN,96.09,16.49
21-11-2012,140,213.38,41.54,0.45,16.86,,391388,342588,225117,0.713,304.09,2.31,NaN,98.35,NaN
22-11-2012,260,200.85,42.98,0.45,16.5,,391388,342588,225117,0.713,310.45,2.03,NaN,124.72,46.83
23-11-2012,146,184.13,44.17,0.39,16.36,,391388,342588,225117,0.713,271,2.19,NaN,163.48,12.67
24-11-2012,95,113.81,49.16,0.39,16.28,,391388,342588,225117,0.713,301.84,3.46,NaN,181.17,11.97
25-11-2012,79,216.38,45.8,0.47,16.95,,391388,342588,225117,0.713,235.65,2.53,NaN,146.07,17.48
26-11-2012,55,220.75,42.85,0.55,16.31,,391388,342588,225117,0.713,194.6,NaN,NaN,130.8,8.81
27-11-2012,77,229.64,37.9,0.53,16.76,,391388,342588,225117,0.713,198.98,NaN,NaN,129.74,9.86
28-11-2012,55,192.12,42.71,0.46,16.01,,391388,342588,225117,0.713,251.43,NaN,NaN,131.18,12.76
